name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
US_EXP_AIR_FLARE_MJU_10,8,2,225,2,3,0,0,Flare~ MJU-10,0,0,0,US_EXP_AIR_FLARE
US_EXP_AIR_FLARE_MJU_8_MK46,8,2,225,2,4,0,0,Flare~ MJU-8 / Mk46,0,0,0,US_EXP_AIR_FLARE
US_EXP_AIR_FLARE_MK47,8,2,225,2,5,0,0,Flare~ Mk47,0,0,0,US_EXP_AIR_FLARE
US_EXP_AIR_FLARE_M_211,8,2,225,2,6,0,0,Flare~ M211,0,1,1,0
US_EXP_AIR_FLARE_M_212,8,2,225,2,7,0,0,Flare~ M212,0,1,1,0
US_EXP_AIR_COMB_CHAFF_FLARE,8,2,225,3,0,0,0,Expendables Combined chaff/flare,0,0,0,0
US_EXP_AIR_AE,8,2,225,4,0,0,0,Expendables Active emitter,0,0,0,0
US_EXP_AIR_AE_TOW_DECOY,8,2,225,4,1,0,0,Towed Decoy,0,0,0,US_EXP_AIR_AE
US_EXP_AIR_AE_TOW_DECOY_AN_ALE_50_ADV_AIRBORNE_EXPENDABLE_DECOY_AAED,8,2,225,4,1,1,0,AN/ALE-50 Advanced Airborne Expendable Decoy (AAED),0,0,0,US_EXP_AIR_AE
US_EXP_AIR_AE_TOW_DECOY_AN_ALE_55_FIBER_OPTIC_TOW_DECOY_FOTD,8,2,225,4,1,2,0,AN/ALE-55 Fiber Optic (FOTD),0,0,0,US_EXP_AIR_AE
US_EXP_AIR_AE_TOW_DECOY_HIGH_POWER_FIBER_OPTIC_TOW_DECOY_HPFOTD,8,2,225,4,1,3,0,High Power Fiber Optic (HPFOTD),0,0,0,US_EXP_AIR_AE
US_EXP_AIR_PDEC,8,2,225,5,0,0,0,Expendables Passive decoy,0,0,0,0
US_EXP_AIR_WDEC,8,2,225,6,0,0,0,Expendables Winged decoy,0,0,0,0
US_EXP_AIR_WDEC_TACT_AIR_LNCHED,8,2,225,6,1,0,0,Tactical Air-Launched Decoy,0,0,0,US_EXP_AIR_WDEC
US_EXP_AIR_WDEC_A_B37U_1_V_1_CHAFF_DISPENSING,8,2,225,6,1,1,0,Tactical Air-Launched Decoy A/B37U-1(V)1 chaff-dispensing,0,0,0,US_EXP_AIR_WDEC_TACT_AIR_LNCHED
