name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
CIS_PLAT_LAND_ADUE_SA_15_28_ROUND_MSL_RELOAD_TRANS_9T225,1,1,222,28,10,4,0,SA-15 28-Round Missile Reload Transporter (9T225),0,0,0,CIS_PLAT_LAND_ADUE_SA_15_GAUNTLET
CIS_PLAT_LAND_ADUE_SA_17_GRIZZLY,1,1,222,28,11,0,0,SA-17 Grizzly SAM System,0,0,0,CIS_PLAT_LAND_ADUE
CIS_PLAT_LAND_ADUE_SA_17_CP_VEH,1,1,222,28,11,1,0,SA-17 Command Post Vehicle,0,0,0,CIS_PLAT_LAND_ADUE_SA_17_GRIZZLY
CIS_PLAT_LAND_ADUE_SA_17_CHAIR_BACK,1,1,222,28,11,2,0,SA-17 Chair Back Engagement Radar,0,0,0,CIS_PLAT_LAND_ADUE_SA_17_GRIZZLY
CIS_PLAT_LAND_ADUE_SA_17_CHAIR_BACK_SP_VEH,1,1,222,28,11,2,1,SA-17 Chair Back Engagement Radar Tracked (SP) Chair Back Vehicle,0,0,0,CIS_PLAT_LAND_ADUE_SA_17_CHAIR_BACK
CIS_PLAT_LAND_ADUE_SA_17_CHAIR_BACK_TOW_TRAILER,1,1,222,28,11,2,2,SA-17 Chair Back Engagement Radar Wheeled (towed) Chair Back Trailer,0,0,0,CIS_PLAT_LAND_ADUE_SA_17_CHAIR_BACK
CIS_PLAT_LAND_ADUE_SA_17_TELAR,1,1,222,28,11,3,0,SA-17 TELAR,0,0,0,CIS_PLAT_LAND_ADUE_SA_17_GRIZZLY
CIS_PLAT_LAND_ADUE_SA_17_TEL,1,1,222,28,11,4,0,SA-17 Launcher/Loader Vehicle (TEL),0,0,0,CIS_PLAT_LAND_ADUE_SA_17_GRIZZLY
CIS_PLAT_LAND_ADUE_SA_17_TEL_TRACKED_SP_LL,1,1,222,28,11,4,1,SA-17 Launcher/Loader Vehicle (TEL) Tracked (SP) LL,0,0,0,CIS_PLAT_LAND_ADUE_SA_17_TEL
CIS_PLAT_LAND_ADUE_SA_17_TEL_WHEELED_TOW_LL,1,1,222,28,11,4,2,SA-17 Launcher/Loader Vehicle (TEL) Wheeled (towed) LL,0,0,0,CIS_PLAT_LAND_ADUE_SA_17_TEL
CIS_PLAT_LAND_ADUE_SP_VSHORAD,1,1,222,28,12,0,0,Self-Propelled VSHORAD Gun/Missile System,0,0,0,CIS_PLAT_LAND_ADUE
CIS_PLAT_LAND_ADUE_SP_VSHORAD_ZSU_23_4_QUAD_23MM_AAA,1,1,222,28,12,1,0,ZSU-23/4 Quad 23mm AAA,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD
CIS_PLAT_LAND_ADUE_SP_VSHORAD_SA_9_GASKIN,1,1,222,28,12,2,0,SA-9 Gaskin SAM System,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD
CIS_PLAT_LAND_ADUE_SP_VSHORAD_SA_9_GASKIN_SA_9A_TEL_W_FLAT_BOX_A,1,1,222,28,12,2,1,SA-9 Gaskin SAM System SA-9A TEL (w/Flat Box-A),0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD_SA_9_GASKIN
CIS_PLAT_LAND_ADUE_SP_VSHORAD_SA_9_GASKIN_SA_9B_TEL_W_O_FLAT_BOX_A,1,1,222,28,12,2,2,SA-9 Gaskin SAM System SA-9B TEL (w/o Flat Box-A),0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD_SA_9_GASKIN
CIS_PLAT_LAND_ADUE_SP_VSHORAD_SA_13_GOPHER,1,1,222,28,12,3,0,SA-13 Gopher SAM System,0,0,0,CIS_PLAT_LAND_ADUE_SP_VSHORAD
