name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
FR_SE_LAND_RFA_MULTI_FUNC,9,1,71,2,1,0,0,RF Active Multi-function,0,0,0,FR_SE_LAND_RFA
FR_SE_LAND_RFA_MULTI_FUNC_FIXED,9,1,71,2,1,1,0,RF Active Multi-function Fixed,0,0,0,FR_SE_LAND_RFA_MULTI_FUNC
FR_SE_LAND_RFA_MULTI_FUNC_MOBILE,9,1,71,2,1,2,0,RF Active Multi-function Mobile,0,0,0,FR_SE_LAND_RFA_MULTI_FUNC
FR_SE_LAND_RFA_EWSR,9,1,71,2,2,0,0,RF Active Early Warning/Surveillance Radar,0,0,0,FR_SE_LAND_RFA
FR_SE_LAND_RFA_EWSR_THOMPSON_LP_23_TRS_2050,9,1,71,2,2,1,0,Thompson LP-23 (TRS-2050),0,0,0,FR_SE_LAND_RFA_EWSR
FR_SE_LAND_RFA_EWSR_TIGER_S_TRS_2100,9,1,71,2,2,2,0,Tiger-S (TRS-2100),0,0,0,FR_SE_LAND_RFA_EWSR
FR_SE_LAND_RFA_EWSR_TIGER_G_TRS_2105,9,1,71,2,2,3,0,Tiger-G (TRS-2105),0,0,0,FR_SE_LAND_RFA_EWSR
FR_SE_LAND_RFA_EWSR_THD_1940_PICADOR,9,1,71,2,2,4,0,THD 1940 (Picador),0,0,0,FR_SE_LAND_RFA_EWSR
FR_SE_LAND_RFA_EWSR_VOLEX_III_IV,9,1,71,2,2,5,0,Volex III/IV,0,0,0,FR_SE_LAND_RFA_EWSR
FR_SE_LAND_RFA_BATTLEFIELD_SURV,9,1,71,2,24,0,0,RF Active Battlefield Surveillance,0,0,0,FR_SE_LAND_RFA
FR_SE_LAND_RFA_BS_RASIT_GSR,9,1,71,2,24,1,0,Rasit Ground Surveillance Radar,0,1,1,FR_SE_LAND_RFA_BATTLEFIELD_SURV
FR_SE_LAND_EO,9,1,71,5,0,0,0,Electro-Optical,0,0,0,0
FR_SE_LAND_EO_MSL_GUIDANCE,9,1,71,5,60,0,0,Electro-Optical~ Missile Guidance,0,0,0,FR_SE_LAND_EO
FR_SE_LAND_EO_DHY_307_LASER_TARGET_DESIGNATOR,9,1,71,5,60,1,0,DHY-307 Laser Target Designator,0,1,1,FR_SE_LAND_EO_MSL_GUIDANCE
GER_SE_LAND_RFA,9,1,78,2,0,0,0,German Land Sensor/Emitter RF Active,0,0,0,0
GER_SE_LAND_RFA_MULTIFUNC_RADAR,9,1,78,2,1,0,0,RF Active Multifunction Radar,0,0,0,GER_SE_LAND_RFA
GER_SE_LAND_RFA_MULTIFUNC_RADAR_DELETED,9,1,78,2,1,1,0,RF Active Multifunction Radar (deleted),1,0,0,GER_SE_LAND_RFA_MULTIFUNC_RADAR
GER_SE_LAND_RFA_BATTLEFIELD_SURV,9,1,78,2,24,0,0,RF Active Battlefield Surveillance,0,0,0,GER_SE_LAND_RFA
IRAN_SE_LAND_RFA,9,1,101,2,0,0,0,Iran Land Sensor / Emitter RF Active,0,0,0,0
IRAN_SE_LAND_RFA_MULTI_FUNC,9,1,101,2,1,0,0,Iran Land Sensor/Emitter RF Active Multi-function,0,0,0,IRAN_SE_LAND_RFA
IRAN_SE_LAND_RFA_MULTI_FUNC_FIXED,9,1,101,2,1,1,0,Iran Land Sensor/Emitter RF Active Multi-function Fixed,0,0,0,IRAN_SE_LAND_RFA
IRAN_SE_LAND_RFA_MULTI_FUNC_MOBILE,9,1,101,2,1,2,0,Iran Land Sensor/Emitter RF Active Multi-function Mobile,0,0,0,IRAN_SE_LAND_RFA
IRAQ_SE_LAND_RFA,9,1,102,2,0,0,0,Iraq Land Sensor / Emitter RF Active,0,0,0,0
IRAQ_SE_LAND_RFA_MULTI_FUNC,9,1,102,2,1,0,0,Iraq Land Sensor/Emitter RF Active Multi-function,0,0,0,IRAQ_SE_LAND_RFA
