value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_27_1ST_SQ_2ND_ACR,1st Sq 2nd ACR,32,0,1-2ACR,27,4,1
2,EM_USARMY_BN_27_2ND_SQ_2ND_ACR,2nd Sq 2nd ACR,32,0,2-2ACR,27,4,1
3,EM_USARMY_BN_27_3RD_SQ_2ND_ACR,3rd Sq 2nd ACR,32,0,3-2ACR,27,4,1
4,EM_USARMY_BN_27_4TH_SQ_2ND_ACR,4th Sq 2nd ACR,32,0,4-2ACR,27,4,1
5,EM_USARMY_BN_27_5TH_SQ_2ND_ACR,5th Sq 2nd ACR,32,0,5-2ACR,27,4,1
6,EM_USARMY_BN_27_6TH_SQ_2ND_ACR,6th Sq 2nd ACR,32,0,6-2ACR,27,4,1
7,EM_USARMY_BN_27_2ND_ACR,2nd ACR,32,0,2ACR,27,4,1
