value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_6_SQD1_3ACR_IIIC,SQD1/3ACR/IIIC,32,0,1/3ACR,6,1,1
2,EM_USARMY_BN_6_SQD2_3ACR_IIIC,SQD2/3ACR/IIIC,32,0,2/3ACR,6,2,1
3,EM_USARMY_BN_6_SQD3_3ACR_IIIC,SQD3/3ACR/IIIC,32,0,3/3ACR,6,3,1
4,EM_USARMY_BN_6_4SQ3ACR,4SQ3ACR,32,0,4/3ACR,6,4,1
5,EM_USARMY_BN_6_66TH_MIL_INTEL,66th Mil Intel,32,0,66MI,6,1,1
6,EM_USARMY_BN_6_89TH_CHEMICAL,89th Chemical,32,0,89CM,6,1,1
7,EM_USARMY_BN_6_NTC,NTC,32,0,NTC,6,1,1
8,EM_USARMY_BN_6_SPT_3ACR,SPT/3ACR,32,0,SPT/3ACR,6,5,1
