value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_5_1BN36_BDE1_1AD,1BN36/BDE1/1AD,32,0,1-36IN,5,1,1
2,EM_USARMY_BN_5_1BN37_BDE1_1AD,1BN37/BDE1/1AD,32,0,1-37AR,5,1,1
3,EM_USARMY_BN_5_2BN37_BDE1_1AD,2BN37/BDE1/1AD,32,0,2-37AR,5,1,1
4,EM_USARMY_BN_5_1BN35_BDE2_1AD,1BN35/BDE2/1AD,32,0,1-35AR,5,2,1
5,EM_USARMY_BN_5_1BN6_BDE2_1AD,1BN6/BDE2/1AD,32,0,1-6IN,5,2,1
6,EM_USARMY_BN_5_2BN6_BDE2_1AD,2BN6/BDE2/1AD,32,0,2-6IN,5,2,1
7,EM_USARMY_BN_5_2BN70_BDE3_1AD,2BN70/BDE3/1AD,32,0,2-70AR,5,3,1
8,EM_USARMY_BN_5_1BN13_BDE3_1AD,1BN13/BDE3/1AD,32,0,1-13AR,5,3,1
9,EM_USARMY_BN_5_1BN41_BDE3_1AD,1BN41/BDE3/1AD,32,0,1-41IN,5,3,1
10,EM_USARMY_BN_5_1SQ1C_BDE4_1AD,1SQ1C/BDE4/1AD,32,0,1-1CAV,5,4,1
11,EM_USARMY_BN_5_1_501_AVN_RGMT,1-501 AVN RGMT,32,0,1-501AVN,5,4,1
12,EM_USARMY_BN_5_2_501_AVN_RGMT,2-501 AVN RGMT,32,0,2-501AVN,5,4,1
20,EM_USARMY_BN_5_1BN94_DVRTY_1AD,1BN94/DVRTY/1AD,32,0,1-94FA,5,7,1
21,EM_USARMY_BN_5_2BN3_BDE1_1AD,2BN3/BDE1/1AD,32,0,2-3FA,5,7,1
22,EM_USARMY_BN_5_4BN27_BDE2_1AD,4BN27/BDE2/1AD,32,0,4-27FA,5,7,1
23,EM_USARMY_BN_5_4BN1_BDE3_1AD,4BN1/BDE3/1AD,32,0,4-1FA,5,7,1
30,EM_USARMY_BN_5_16TH_ENGINEERS,16th Engineers,32,0,16EN,5,6,1
31,EM_USARMY_BN_5_40TH_ENGINEERS,40th Engineers,32,0,40EN,5,6,1
32,EM_USARMY_BN_5_70TH_ENGINEERS,70th Engineers,32,0,70EN,5,6,1
40,EM_USARMY_BN_5_501FS_BDE1_1AD,501FS/BDE1/1AD,32,0,501SB,5,8,1
41,EM_USARMY_BN_5_47SB_BDE2_1AD,47SB/BDE2/1AD,32,0,47SB,5,8,1
42,EM_USARMY_BN_5_125FS_BDE3_1AD,125FS/BDE3/1AD,32,0,125SB,5,8,1
43,EM_USARMY_BN_5_127TH_SB,127TH SB,32,0,127SB,5,8,1
44,EM_USARMY_BN_5_1_4_AIR_DEF_ARTY,1-4 Air Def Arty,32,0,1-4ADA,5,8,1
45,EM_USARMY_BN_5_69TH_CHEMICAL,69TH CHEMICAL,32,0,69CML,5,8,1
46,EM_USARMY_BN_5_596TH_SIGNAL,596th Signal,32,0,596SIG,5,8,1
47,EM_USARMY_BN_5_2_77_INFANTRY,2-77 Infantry,32,0,2-77IN,5,1,1
48,EM_USARMY_BN_5_3_77_INFANTRY,3-77 Infantry,32,0,3-77IN,5,1,1
49,EM_USARMY_BN_5_127_AVIATION,127 Aviation,32,0,127AVN,5,1,1
