value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_8_1B327_BDE1_101A,1B327/BDE1/101A,32,0,1-327IN,8,1,1
2,EM_USARMY_BN_8_2B327_BDE1_101A,2B327/BDE1/101A,32,0,2-327IN,8,1,1
3,EM_USARMY_BN_8_3B327_BDE1_101A,3B327/BDE1/101A,32,0,3-327IN,8,1,1
4,EM_USARMY_BN_8_1B502_BDE2_101A,1B502/BDE2/101A,32,0,1-502IN,8,2,1
5,EM_USARMY_BN_8_2B502_BDE2_101A,2B502/BDE2/101A,32,0,2-502IN,8,2,1
6,EM_USARMY_BN_8_3B502_BDE2_101A,3B502/BDE2/101A,32,0,3-502IN,8,2,1
7,EM_USARMY_BN_8_1B187_BDE3_101A,1B187/BDE3/101A,32,0,1-187IN,8,3,1
8,EM_USARMY_BN_8_2B187_BDE3_101A,2B187/BDE3/101A,32,0,2-187IN,8,3,1
9,EM_USARMY_BN_8_3B187_BDE3_101A,3B187/BDE3/101A,32,0,3-187IN,8,3,1
10,EM_USARMY_BN_8_BN1_101_101A,BN1/101/101A,32,0,1-101AVN,8,5,1
11,EM_USARMY_BN_8_BN2_101_101A,BN2/101/101A,32,0,2-101AVN,8,5,1
12,EM_USARMY_BN_8_BN3_101_101A,BN3/101/101A,32,0,3-101AVN,8,5,1
13,EM_USARMY_BN_8_BN1_159_101A,BN1/159/101A,32,0,1-159AVN,8,5,1
14,EM_USARMY_BN_8_BN2_159_101A,BN2/159/101A,32,0,2-159AVN,8,5,1
15,EM_USARMY_BN_8_BN3_159_101A,BN3/159/101A,32,0,3-159AVN,8,5,1
16,EM_USARMY_BN_8_2SQ17_101A123456,2SQ17/101A123456,32,0,2-17CAV,8,7,1
17,EM_USARMY_BN_8_1B320_DVRTY_101A,1B320/DVRTY/101A,32,0,1-320FA,8,7,1
18,EM_USARMY_BN_8_2B320_DVRTY_101A,2B320/DVRTY/101A,32,0,2-320FA,8,7,1
19,EM_USARMY_BN_8_3B320_DVRTY_101A,3B320/DVRTY/101A,32,0,3-320FA,8,7,1
