value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_10_1BN87IN_1_10ID,1BN87IN/1/10ID,32,0,1-87IN,10,1,1
2,EM_USARMY_BN_10_1BN32IN_1_10ID,1BN32IN/1/10ID,32,0,1-32IN,10,1,1
3,EM_USARMY_BN_10_2BN22IN_1_10ID,2BN22IN/1/10ID,32,0,2-22IN,10,1,1
4,EM_USARMY_BN_10_2BN87IN_2_10ID,2BN87IN/2/10ID,32,0,2-87IN,10,2,1
5,EM_USARMY_BN_10_4BN31IN_2_10ID,4BN31IN/2/10ID,32,0,4-31IN,10,2,1
6,EM_USARMY_BN_10_2BN14IN_2_10ID,2BN14IN/2/10ID,32,0,2-14IN,10,2,1
7,EM_USARMY_BN_10_1B130_10AVN_10ID,1B130/10AVN/10ID,32,0,1-130AVN,10,5,1
8,EM_USARMY_BN_10_1BN10_10AVN_10ID,1BN10/10AVN/10ID,32,0,1-10AVN,10,5,1
9,EM_USARMY_BN_10_2BN10_10AVN_10ID,2BN10/10AVN/10ID,32,0,2-10AVN,10,5,1
10,EM_USARMY_BN_10_104AV_10AVN_10ID,104AV/10AVN/10ID,32,0,104AVN,10,5,1
11,EM_USARMY_BN_10_3SQ17_10AVN_10ID,3SQ17/10AVN/10ID,32,0,3-17CAV,10,5,1
12,EM_USARMY_BN_10_2BN15_DVRTY_10ID,2BN15/DVRTY/10ID,32,0,2-15FA,10,7,1
13,EM_USARMY_BN_10_3BN6_DVRTY_10ID,3BN6/DVRTY/10ID,32,0,3-6FA,10,7,1
14,EM_USARMY_BN_10_717MED_10AV_10ID,717MED/10AV/10ID,32,0,717MED,10,8,1
15,EM_USARMY_BN_10_41EN_10ID,41EN/10ID,32,0,41EN,10,8,1
16,EM_USARMY_BN_10_10SIG_10ID,10SIG/10ID,32,0,10SIG,10,8,1
17,EM_USARMY_BN_10_210SB_BDE2_10ID,210SB/BDE2/10ID,32,0,210SB,10,8,1
18,EM_USARMY_BN_10_710F_DISCOM_10ID,710F/DISCOM/10ID,32,0,710SB,10,8,1
19,EM_USARMY_BN_10_10SB_BDE1_10ID,10SB/BDE1/10ID,32,0,10SB,10,8,1
20,EM_USARMY_BN_10_3BN62ADA_10ID,3BN62ADA/10ID,32,0,3-62ADA,10,8,1
21,EM_USARMY_BN_10_110MI_10ID,110MI/10ID,32,0,110MI,10,8,1
