value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_25_4_7_CAVALRY,4/7 Cavalry,32,0,4/7CAV,25,1,1
2,EM_USARMY_BN_25_1_72_ARMOR,1-72 Armor,32,0,1-72AR,25,1,1
3,EM_USARMY_BN_25_2_72_ARMOR,2-72 Armor,32,0,2-72AR,25,1,1
4,EM_USARMY_BN_25_2_9_INFANTRY,2-9 Infantry,32,0,2-9IN,25,1,1
5,EM_USARMY_BN_25_1_9_INFANTRY,1-9 Infantry,32,0,1-9IN,25,1,1
6,EM_USARMY_BN_25_1_503_INFANTRY,1-503 Infantry,32,0,1-503IN,25,1,1
7,EM_USARMY_BN_25_1_506_INFANTRY,1-506 Infantry,32,0,1-506IN,25,1,1
8,EM_USARMY_BN_25_1_38_ARTILLERY,1-38 Artillery,32,0,1-38FA,25,1,1
9,EM_USARMY_BN_25_6_37_ARTILLERY,6-37 Artillery,32,0,6-37FA,25,1,1
10,EM_USARMY_BN_25_1_15_ARTILLERY,1-15 Artillery,32,0,1-15FA,25,1,1
11,EM_USARMY_BN_25_2_17_ARTILLERY,2-17 Artillery,32,0,2-17FA,25,1,1
12,EM_USARMY_BN_25_2_ENGINEER,2 Engineer,32,0,2EN,25,1,1
13,EM_USARMY_BN_25_44_ENGINEER,44 Engineer,32,0,44EN,25,1,1
14,EM_USARMY_BN_25_2_FORWARD_SUPP,2 Forward Supp,32,0,2SB,25,1,1
15,EM_USARMY_BN_25_302_FORWARD_SUPP,302 Forward Supp,32,0,302SB,25,1,1
16,EM_USARMY_BN_25_602_FORWARD_SUPP,602 Forward Supp,32,0,602SB,25,1,1
17,EM_USARMY_BN_25_702_FORWARD_SUPP,702 Forward Supp,32,0,702SB,25,1,1
18,EM_USARMY_BN_25_5_5_AIR_DEF_ARTY,5-5 Air Def Arty,32,0,5-5ADA,25,1,1
19,EM_USARMY_BN_25_1_2_AVIATION,1-2 Aviation,32,0,1-2AVN,25,1,1
20,EM_USARMY_BN_25_2_2_AVIATION,2-2 Aviation,32,0,2-2AVN,25,1,1
