value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_3_2BN7_BDE1_3ID,2BN7/BDE1/3ID,32,0,2-7IN,3,1,1
2,EM_USARMY_BN_3_3BN7_BDE1_3ID,3BN7/BDE1/3ID,32,0,3-7IN,3,1,1
3,EM_USARMY_BN_3_3BN69_BDE1_3ID,3BN69/BDE1/3ID,32,0,3-69AR,3,1,1
4,EM_USARMY_BN_3_2_77_INFANTRY,2-77 Infantry,32,0,2-77IN,3,1,1
5,EM_USARMY_BN_3_3_77_INFANTRY,3-77 Infantry,32,0,3-77IN,3,1,1
6,EM_USARMY_BN_3_148_FORWARD_SUPP,148 Forward Supp,32,0,148SB,3,1,1
7,EM_USARMY_BN_3_1_3_AIR_DEF_ART,1-3 Air Def Art,32,0,1-3ADA,3,1,1
8,EM_USARMY_BN_3_131_AVIATION,131 Aviation,32,0,131AVN,3,1,1
4,EM_USARMY_BN_3_4BN64_BDE2_3ID,4BN64/BDE2/3ID,32,0,4-64AR,3,2,1
5,EM_USARMY_BN_3_1BN64_BDE2_3ID,1BN64/BDE2/3ID,32,0,1-64AR,3,2,1
6,EM_USARMY_BN_3_3BN15_BDE2_3ID,3BN15/BDE2/3ID,32,0,3-15IN,3,2,1
8,EM_USARMY_BN_3_1BN9_BDE2_3ID,1BN9/BDE2/3ID,32,0,1-9IN,3,2,1
9,EM_USARMY_BN_3_9CAV_BDE2_3ID,9CAV/BDE2/3ID,32,0,9CAV,3,2,1
10,EM_USARMY_BN_3_1BN15_BDE3_3ID,1BN15/BDE3/3ID,32,0,1-15IN,3,3,1
11,EM_USARMY_BN_3_1BN30_BDE3_3ID,1BN30/BDE3/3ID,32,0,1-30IN,3,3,1
12,EM_USARMY_BN_3_2BN69_BDE3_3ID,2BN69/BDE3/3ID,32,0,2-69AR,3,3,1
13,EM_USARMY_BN_3_10CAV_BDE3_3ID,10CAV/BDE3/3ID,32,0,10CAV,3,3,1
14,EM_USARMY_BN_3_3S7C_BDE4_3ID,3S7C/BDE4/3ID,32,0,3-7CAV,3,5,1
30,EM_USARMY_BN_3_10TH_ENGINEERS,10th Engineers,32,0,10EN,3,6,1
31,EM_USARMY_BN_3_11TH_ENGINEER,11th Engineer,32,0,11EN,3,6,1
32,EM_USARMY_BN_3_317_ENGINEER,317 Engineer,32,0,317EN,3,6,1
20,EM_USARMY_BN_3_1BN41_BDE1_3ID,1BN41/BDE1/3ID,32,0,1-41FA,3,7,1
21,EM_USARMY_BN_3_1BN39_DVRTY_3ID,1BN39/DVRTY/3ID,32,0,1-39FA,3,7,1
22,EM_USARMY_BN_3_1BN9_BDE2_3ID,1BN9/BDE2/3ID,32,0,1-9FA,3,7,1
23,EM_USARMY_BN_3_1_10_FIELD_ART,1-10 Field Art,32,0,1-10FA,3,7,1
40,EM_USARMY_BN_3_3SB_BDE1_3ID,3SB/BDE1/3ID,32,0,3SB,3,8,1
41,EM_USARMY_BN_3_26SB_BDE2_3ID,26SB/BDE2/3ID,32,0,26SB,3,8,1
42,EM_USARMY_BN_3_203_FORWARD_SUPP,203 Forward Supp,32,0,203SB,3,8,1
43,EM_USARMY_BN_3_92CML_BDE2_3ID,92CML/BDE2/3ID,32,0,92CML,3,8,1
44,EM_USARMY_BN_3_123RD_SIGNAL,123rd Signal,32,0,123SIG,3,8,1
