value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_14_1BN_1MAR_1DIV,1BN/1MAR/1DIV,32,0,1-1MAR,14,1,1
2,EM_USARMY_BN_14_2BN_1MAR_1DIV,2BN/1MAR/1DIV,32,0,2-1MAR,14,1,1
3,EM_USARMY_BN_14_3BN_1MAR_1DIV,3BN/1MAR/1DIV,32,0,3-1MAR,14,1,1
4,EM_USARMY_BN_14_1BN_2MAR_TFT,1BN/2MAR/TFT,32,0,1-2MAR,14,1,1
6,EM_USARMY_BN_14_1BN_4MAR_1DIV,1BN/4MAR/1DIV,32,0,1-4MAR,14,1,1
7,EM_USARMY_BN_14_2BN_4MAR_1DIV,2BN/4MAR/1DIV,32,0,2-4MAR,14,1,1
8,EM_USARMY_BN_14_3BN_4MAR_1DIV,3BN/4MAR/1DIV,32,0,3-4MAR,14,1,1
9,EM_USARMY_BN_14_1BN_5MAR_1DIV,1BN/5MAR/1DIV,32,0,1-5MAR,14,1,1
10,EM_USARMY_BN_14_2BN_5MAR_1DIV,2BN/5MAR/1DIV,32,0,2-5MAR,14,1,1
11,EM_USARMY_BN_14_3BN_5MAR_1DIV,3BN/5MAR/1DIV,32,0,3-5MAR,14,1,1
12,EM_USARMY_BN_14_1BN_7MAR_1DIV,1BN/7MAR/1DIV,32,0,1-7MAR,14,1,1
13,EM_USARMY_BN_14_2BN_7MAR_1DIV,2BN/7MAR/1DIV,32,0,2-7MAR,14,1,1
14,EM_USARMY_BN_14_3BN_7MAR_1DIV,3BN/7MAR/1DIV,32,0,3-7MAR,14,1,1
15,EM_USARMY_BN_14_2BN_8MAR_1DIV,2BN/8MAR/1DIV,32,0,2-8MAR,14,1,1
16,EM_USARMY_BN_14_1BN_10MAR_TFT,1BN/10MAR/TFT,32,0,1-10MAR,14,1,1
17,EM_USARMY_BN_14_3BN_10MAR_1DIV,3BN/10MAR/1DIV,32,0,3-10MAR,14,1,1
18,EM_USARMY_BN_14_5BN_10MAR_1DIV,5BN/10MAR/1DIV,32,0,5-10MAR,14,1,1
19,EM_USARMY_BN_14_1BN_11MAR_1DIV,1BN/11MAR/1DIV,32,0,1-11MAR,14,1,1
20,EM_USARMY_BN_14_2BN_11MAR_1DIV,2BN/11MAR/1DIV,32,0,2-11MAR,14,1,1
21,EM_USARMY_BN_14_3BN_11MAR_1DIV,3BN/11MAR/1DIV,32,0,3-11MAR,14,1,1
22,EM_USARMY_BN_14_5BN_11MAR_1DIV,5BN/11MAR/1DIV,32,0,5-11MAR,14,1,1
23,EM_USARMY_BN_14_3BN_12MAR_1DIV,3BN/12MAR/1DIV,32,0,3-12MAR,14,1,1
24,EM_USARMY_BN_14_1LAR_1DIV,1LAR/1DIV,32,0,1LAR,14,1,1
25,EM_USARMY_BN_14_3LAR_1DIV,3LAR/1DIV,32,0,3LAR,14,1,1
