value,name,desc,bumper,new
0,EM_USARMY_TM_OTHER,Other,0,1
1,EM_USARMY_TM_FIRETEAM_A,Fireteam A,A,1
2,EM_USARMY_TM_FIRETEAM_B,Fireteam B,B,1
3,EM_USARMY_TM_FIRETEAM_C,Fireteam C,C,1
4,EM_USARMY_TM_FIRETEAM_D,Fireteam D,D,1
5,EM_USARMY_TM_ISR,ISR,I,1
6,EM_USARMY_TM_EOIR,EOIR,E,1
7,EM_USARMY_TM_RN,RN,R,1
8,EM_USARMY_TM_IMAGE,IMAGE,B,1
9,EM_USARMY_TM_INTRUSION,INTRUSION,C,1
