value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_2_1_16_INFANTRY,1-16 Infantry,32,1,1-16IN,2,1,0
2,EM_USARMY_BN_2_2_16_INFANTRY,2-16 Infantry,32,2,2-16IN,2,1,0
3,EM_USARMY_BN_2_1_34_ARMOR,1-34 Armor,32,3,1-34AR,2,1,0
4,EM_USARMY_BN_2_2_34_ARMOR,2-34 Armor,32,4,2-34AR,2,1,0
5,EM_USARMY_BN_2_3_37_ARMOR,3-37 Armor,32,5,3-37AR,2,1,0
6,EM_USARMY_BN_2_4_37_ARMOR,4-37 Armor,32,6,4-37AR,2,1,0
7,EM_USARMY_BN_2_1_118_INFANTRY,1-118 Infantry,32,7,1-118IN,2,1,0
8,EM_USARMY_BN_2_4_118_INFANTRY,4-118 Infantry,32,8,4-118IN,2,1,0
9,EM_USARMY_BN_2_2_263_ARMOR,2-263 Armor,32,9,2-263AR,2,1,0
10,EM_USARMY_BN_2_2_136_INFANTRY,2-136 Infantry,32,88,2-136IN,2,1,0
20,EM_USARMY_BN_2_1_5_FIELD_ART,1-5 Field Art,32,11,1-5FA,2,1,0
21,EM_USARMY_BN_2_4_5_FIELD_ART,4-5 Field Art,32,12,4-5FA,2,1,0
22,EM_USARMY_BN_2_1_178_FIELD_ART,1-178 Field Art,32,13,1-178F,2,1,0
23,EM_USARMY_BN_2_B_6_FIELD_ART,B/6 Field Art,0,5,6F,2,1,0
24,EM_USARMY_BN_2_D_25_FIELD_ART,D/25 Field Art,0,5,25F,2,1,0
30,EM_USARMY_BN_2_1_ENGINEER,1 Engineer,32,15,1E,2,1,0
31,EM_USARMY_BN_2_70_ENGINEER,70 Engineer,32,120,70E,2,1,0
32,EM_USARMY_BN_2_4_1_AVIATION,4-1 Aviation,0,9,4-1AVN,2,1,0
33,EM_USARMY_BN_2_1_1_AVIATION,1-1 Aviation,32,14,1-1AVN,2,1,0
34,EM_USARMY_BN_2_2_3_AIR_DEF_ART,2-3 Air Def Art,32,16,2-3ADA,2,1,0
35,EM_USARMY_BN_2_1_4_CAVALRY,1-4 Cavalry,32,17,1-4CAV,2,1,0
40,EM_USARMY_BN_2_701_MAIN_SUPP,701 Main Supp,83,0,701MSB,2,1,0
41,EM_USARMY_BN_2_101_FORWARD_SUPP,101 Forward Supp,83,1,101SB,2,1,0
42,EM_USARMY_BN_2_201_FORWARD_SUPP,201 Forward Supp,83,2,201SB,2,1,0
43,EM_USARMY_BN_2_163_FORWARD_SUPP,163 Forward Supp,83,3,163SB,2,1,0
45,EM_USARMY_BN_2_101_MIL_INTELL,101 Mil Intell,32,18,101MI,2,1,0
46,EM_USARMY_BN_2_121_SIGNAL,121 Signal,32,19,121S,2,1,0
47,EM_USARMY_BN_2_1_MIL_POLICE,1 Mil Police,0,7,1MP,2,1,0
48,EM_USARMY_BN_2_12_CHEMICAL,12 Chemical,0,8,12CML,2,1,0
50,EM_USARMY_BN_2_HHC_1ST_INF_DIV,HHC 1st Inf Div,0,0,1ID,2,1,0
51,EM_USARMY_BN_2_1BDE_1ID,1BDE/1ID,0,1,1BDE-1ID,2,1,0
52,EM_USARMY_BN_2_2BDE_1ID,2BDE/1ID,0,2,2BDE-1ID,2,1,0
53,EM_USARMY_BN_2_3BDE_1ID,3BDE/1ID,0,3,3BDE-1ID,2,1,0
54,EM_USARMY_BN_2_4BDE_1ID,4BDE/1ID,0,4,4BDE-1ID,2,1,0
55,EM_USARMY_BN_2_AVNBDE_1ID,AVNBDE/1ID,0,0,AVN-1ID,2,1,0
56,EM_USARMY_BN_2_EN_BDE_1ID,EN BDE/1ID,0,69,EN-1ID,2,1,0
57,EM_USARMY_BN_2_DIVARTY_1ID,DIVARTY/1ID,0,5,DVTRY-1ID,2,1,0
58,EM_USARMY_BN_2_DISCOM_1ID,DISCOM/1ID,0,6,DSC-1ID,2,1,0
59,EM_USARMY_BN_2_1_ENGINEER,1 Engineer,32,0,1EN,2,1,0
60,EM_USARMY_BN_2_4_3_AIR_DEF_ART,4-3 Air Def Art,32,0,4-3ADA,2,1,0
61,EM_USARMY_BN_2_1_77_ARMOR,1-77 Armor,32,0,1-77AR,2,2,0
62,EM_USARMY_BN_2_1_63_ARMOR,1-63 Armor,32,0,1-63AR,2,2,0
63,EM_USARMY_BN_2_1_18_INFANTRY,1-18 Infantry,32,0,1-18IN,2,2,0
64,EM_USARMY_BN_2_1_26_INFANTRY,1-26 Infantry,32,0,1-26IN,2,2,0
65,EM_USARMY_BN_2_2_2_INFANTRY,2-2 Infantry,32,0,2-2IN,2,2,0
66,EM_USARMY_BN_2_1_33_ARTILLERY,1-33 Artillery,32,0,1-33FA,2,2,0
67,EM_USARMY_BN_2_1_6_ARTILLERY,1-6 Artillery,32,0,1-6FA,2,2,0
68,EM_USARMY_BN_2_1_7_ARTILLERY,1-7 Artillery,32,0,1-7FA,2,2,0
69,EM_USARMY_BN_2_9_ENGINEER,9 Engineer,32,0,9EN,2,2,0
70,EM_USARMY_BN_2_82_ENGINEER,82 Engineer,32,0,82EN,2,2,0
71,EM_USARMY_BN_2_2_1_AVIATION,2-1 Aviation,32,0,2-1AVN,2,2,0
72,EM_USARMY_BN_2_4_3_AIR_DEF_ART,4-3 Air Def Art,32,0,4-3ADA,2,2,0
73,EM_USARMY_BN_2_299_FORWARD_SUPP,299 Forward Supp,32,0,299SB,2,2,0
