value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_4_1_22ND_INF_BN,1-22nd Inf Bn,32,0,1-22IN,4,1,1
2,EM_USARMY_BN_4_3_66_ARMOR_REG,3-66 Armor Reg,32,0,3-66AR,4,1,1
3,EM_USARMY_BN_4_1_10_CALVARY,1/10 Calvary,32,0,1/10CAV,4,1,1
4,EM_USARMY_BN_4_1_66TH_ARMOR_BN,1-66th Armor Bn,32,0,1-66AR,4,1,1
5,EM_USARMY_BN_4_1_4_ATKHB,1-4 ATKHB,32,0,1-4AV,4,4,1
6,EM_USARMY_BN_4_2_4_AVIATION_BN,2-4 Aviation Bn,32,0,2-4AV,4,4,1
7,EM_USARMY_BN_4_2_8TH_INF_BN,2-8th Inf Bn,32,0,2-8IN,4,2,1
8,EM_USARMY_BN_4_1_68TH_ARMOR_BN,1-68th Armor Bn,32,0,1-68AR,4,3,1
9,EM_USARMY_BN_4_1_8TH_INF_BN,1-8th Inf Bn,32,0,1-8IN,4,3,1
10,EM_USARMY_BN_4_1_67TH_ARMOR_BN,1-67th Armor Bn,32,0,1-67AR,4,2,1
11,EM_USARMY_BN_4_3_67TH_ARMOR_BN,3-67th Armor Bn,32,0,3-67AR,4,2,1
12,EM_USARMY_BN_4_7_10_CAVALRY,7/10 Cavalry,32,0,7/10CAV,4,2,1
13,EM_USARMY_BN_4_8_10_CAVALRY,8/10 Cavalry,32,0,8/10CAV,4,2,1
14,EM_USARMY_BN_4_1_6TH_AVN_BN,1-6th Avn Bn,32,0,1-6AV,4,4,1
15,EM_USARMY_BN_4_3_4TH_AVN_BN,3-4th Avn Bn,32,0,3-4AV,4,4,1
16,EM_USARMY_BN_4_1STB_BCT1_4ID,1STB/BCT1/4ID,32,0,1STB,4,1,1
17,EM_USARMY_BN_4_2STB_BCT2_4ID,2STB/BCT2/4ID,32,0,2STB,4,1,1
18,EM_USARMY_BN_4_3STB_BCT3_4ID,3STB/BCT3/4ID,32,0,3STB,4,1,1
19,EM_USARMY_BN_4_STB_SUSTBDE_4ID,STB/SUSTBDE/4ID,32,0,STB,4,1,1
20,EM_USARMY_BN_4_4_42_FIELD_ART,4-42 Field Art,32,0,4-42FA,4,7,1
21,EM_USARMY_BN_4_2BN20_4ID,2BN20/4ID,32,0,2-20FA,4,7,1
22,EM_USARMY_BN_4_3_16_FIELD_ART,3-16 Field Art,32,0,3-16FA,4,7,1
23,EM_USARMY_BN_4_3BN29_BDE3_4ID,3BN29/BDE3/4ID,32,0,3-29FA,4,3,1
24,EM_USARMY_BN_4_2BN77FA_BCT4_4ID,2BN77FA/BCT4/4ID,32,0,2-77FA,4,7,1
30,EM_USARMY_BN_4_299_ENGINEER,299 Engineer,32,0,299EN,4,1,1
31,EM_USARMY_BN_4_1_44_AIR_DEF_ART,1-44 Air Def Art,32,0,1-44ADA,4,1,1
32,EM_USARMY_BN_4_588_ENGINEER,588 Engineer,32,0,588EN,4,2,1
33,EM_USARMY_BN_4_ENGBN_BDE3_4ID,ENGBN/BDE3/4ID,32,0,4EN,4,3,1
34,EM_USARMY_BN_4_ENBBN__4ID,ENBBN /4ID,32,0,ENBN,4,3,1
40,EM_USARMY_BN_4_4TH_SB,4th SB,32,0,4SB,4,1,1
41,EM_USARMY_BN_4_124_SIGNAL,124 Signal,32,0,124SC,4,1,1
42,EM_USARMY_BN_4_204TH_SB,204th SB,32,0,204SB,4,1,1
43,EM_USARMY_BN_4_404TH_SB,404th SB,32,0,404SB,4,1,1
44,EM_USARMY_BN_4_64SB_BDE3_4ID,64SB/BDE3/4ID,32,0,64SB,4,3,1
45,EM_USARMY_BN_4_324_SIGNAL,324 Signal,32,0,324SC,4,1,1
45,EM_USARMY_BN_4_2_9_CALVARY,2/9 Calvary,32,0,2/9CAV,4,3,1
46,EM_USARMY_BN_4_4STB_BCT4_4ID,4STB/BCT4/4ID,32,0,4STB,4,1,1
47,EM_USARMY_BN_4_704TH_SB,704th SB,32,0,704SB,4,1,1
50,EM_USARMY_BN_4_4TH_INFANTRY,4th Infantry,32,0,4ID,4,1,1
51,EM_USARMY_BN_4_1BDE_4ID,1BDE/4ID,32,0,1-4ID,4,1,1
52,EM_USARMY_BN_4_104_MI,104 MI,32,0,104MI,4,1,1
53,EM_USARMY_BN_4_DIVARTY_4ID,DIVARTY/4ID,32,0,DVRTY-4ID,4,1,1
54,EM_USARMY_BN_4_IIP_4TH_ID,IIP/4th ID,32,0,IIP,4,1,1
55,EM_USARMY_BN_4_1_12TH_INF_BN,1-12th Inf Bn,32,0,1-12IN,4,3,1
56,EM_USARMY_BN_4_52_ENGINEER,52 Engineer,32,0,52EN,4,3,1
57,EM_USARMY_BN_4_CAVALRY,?-? Cavalry,32,0,?-?,4,3,1
58,EM_USARMY_BN_4_BCT1_4ID,BCT1/4ID,32,0,BCT1,4,1,1
59,EM_USARMY_BN_4_BCT2_4ID,BCT2/4ID,32,0,BCT2,4,1,1
60,EM_USARMY_BN_4_BCT3_4ID,BCT3/4ID,32,0,BCT3,4,1,1
61,EM_USARMY_BN_4_BCT4_4ID,BCT4/4ID,32,0,BCT4,4,1,1
62,EM_USARMY_BN_4_AVNBDE_4ID,AVNBDE/4ID,32,0,AVNBDE,4,1,1
63,EM_USARMY_BN_4_FIRESBDE_4ID,FIRESBDE/4ID,32,0,FIRES,4,1,1
64,EM_USARMY_BN_4_SUSTBDE_4ID,SUSTBDE/4ID,32,0,SUST,4,1,1
