value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_24_1_23_CAVALRY,1-23 Cavalry,32,0,1-23CAV,24,1,1
2,EM_USARMY_BN_24_1_10_ARMOR,1-10 Armor,32,0,1-10AR,24,1,1
3,EM_USARMY_BN_24_1_11_ARMOR,1-11 Armor,32,0,1-11AR,24,1,1
4,EM_USARMY_BN_24_1_12_ARMOR,1-12 Armor,32,0,1-12AR,24,1,1
5,EM_USARMY_BN_24_1_91_INFANTRY,1-91 Infantry,32,0,1-91IN,24,1,1
6,EM_USARMY_BN_24_1_92_INFANTRY,1-92 Infantry,32,0,1-92IN,24,1,1
7,EM_USARMY_BN_24_1_50_ARTILLERY,1-50 Artillery,32,0,1-50FA,24,1,1
8,EM_USARMY_BN_24_1_51_ARTILLERY,1-51 Artillery,32,0,1-51FA,24,1,1
9,EM_USARMY_BN_24_1_52_ARTILLERY,1-52 Artillery,32,0,1-52FA,24,1,1
10,EM_USARMY_BN_24_23_ENGINEER,23 Engineer,32,0,23EN,24,1,1
11,EM_USARMY_BN_24_123_FORWARD_SUPP,123 Forward Supp,32,0,123SB,24,1,1
12,EM_USARMY_BN_24_1_440_ADA,1-440 ADA,32,0,1-440ADA,24,1,1
13,EM_USARMY_BN_24_146_AVIATION,146 Aviation,32,0,146AVN,24,1,1
14,EM_USARMY_BN_24_147_AVIATION,147 Aviation,32,0,147AVN,24,1,1
