value,,desc
0,ENT_DOMAIN_OTHER,Other
1,ENT_DOMAIN_LAND,Land
2,ENT_DOMAIN_AIR,Air
3,ENT_DOMAIN_SURFACE,Surface
4,ENT_DOMAIN_SUBSURFACE,Subsurface
5,ENT_DOMAIN_SPACE,Space
