value,name,desc,new
0,AIRPLAT_EQ_SLNGLD_NOT_PRESENT,Not Present,1
1,AIRPLAT_EQ_SLNGLD_EMPTY,Empty,1
2,AIRPLAT_EQ_SLNGLD_LOADED,Loaded,1
3,AIRPLAT_EQ_SLNGLD_DAMAGED,Damaged,1
