value,name,desc,deleted,new,SISO
0,DEAD_RECK_OTHER,Other,0,0,0
1,DEAD_RECK_STATIC,Static (Entity does not move),0,0,0
2,DEAD_RECK_DRM_F_P_W,DRM(F~ P~ W),0,0,0
3,DEAD_RECK_DRM_R_P_W,DRM(R~ P~ W),0,0,0
4,DEAD_RECK_DRM_R_V_W,DRM(R~ V~ W),0,0,0
5,DEAD_RECK_DRM_F_V_W,DRM(F~ V~ W),0,0,0
6,DEAD_RECK_DRM_F_P_B,DRM(F~ P~ B),0,0,0
7,DEAD_RECK_DRM_R_P_B,DRM(R~ P~ B),0,0,0
8,DEAD_RECK_DRM_R_V_B,DRM(R~ V~ B),0,0,0
9,DEAD_RECK_DRM_F_V_B,DRM(F~ V~ B),0,0,0
