value,name,desc,new
0,OFFVP_OFFSET_TYPE_CARRIER_ORIGIN,Carrier Origin,1
1,OFFVP_OFFSET_TYPE_STATION_LOC,Station Location,1
2,OFFVP_OFFSET_TYPE_POS_MOD_BY_CARRIER,Position Modified by Carrier,1
3,OFFVP_OFFSET_TYPE_ORIENT_SET_BY_CARRIER,Orientation Set by Carrier,1
100,OFFVP_OFFSET_TYPE_CENTER_OF_GRAVITY,Center of Gravity,1
