value,name,desc,new
0,PLAT_DECAL_SCHEME_NONE,None,1
1,PLAT_DECAL_SCHEME_UN,United Nations (UN),1
2,PLAT_DECAL_SCHEME_FED_EX,Fed Ex,1
3,PLAT_DECAL_SCHEME_COCA_COLA,Coca-Cola,1
4,PLAT_DECAL_SCHEME_PEPSI_COLA,Pepsi-Cola,1
5,PLAT_DECAL_SCHEME_YELLOW_CAB,Yellow Cab,1
6,PLAT_DECAL_SCHEME_CHANNEL_5_NEWS,Channel 5 News,1
