value,name,desc,deleted,new,SISO
0,LASER_FUNCTION_DESIGNATING,Designating,0,1,0
1,LASER_FUNCTION_RANGING,Ranging,0,1,0
2,LASER_FUNCTION_IR_DESIGNATING,IR Designating,0,1,0
3,LASER_FUNCTION_BEAM_RIDING,Beam Riding,0,1,0
4,LASER_FUNCTION_LASER_POINTING,Laser Pointing,0,1,0
5,LASER_FUNCTION_IR_MARKING,IR Marking,0,1,0
6,LASER_FUNCTION_NVG_MARKING,NVG Marking,0,1,0
