value,name,desc
0,APP_CTRL_CONTROL_OTHER,Other
1,APP_CTRL_CONTROL_SHUTDOWN,Shutdown
2,APP_CTRL_CONTROL_DATA_QUERY,Data Query
3,APP_CTRL_CONTROL_DATA,Data
4,APP_CTRL_CONTROL_SET_DATA,Set Data
5,APP_CTRL_CONTROL_ADD_DATA,Add Data
6,APP_CTRL_CONTROL_REMOVE_DATA,Remove Data
7,APP_CTRL_CONTROL_STATUS,Status
