value,name,desc,deleted,new,SISO
0,CDT_WAYPOINT_TRIGGER_NONE,None,0,0,0
1,CDT_WAYPOINT_TRIGGER_WAIT,Wait,0,0,0
2,CDT_WAYPOINT_TRIGGER_DISTANCE,Distance to Go,0,0,0
3,CDT_WAYPOINT_TRIGGER_TIME,Time to Go,0,0,0
