value,name,desc
0,LF_CAMOUFLAGE_DESERT,Desert Camouflage
1,LF_CAMOUFLAGE_WINTER,Winter Camouflage
2,LF_CAMOUFLAGE_FOREST,Forest Camouflage
3,LF_CAMOUFLAGE_NONE,No Camouflage
