value,name,desc,deleted,new,SISO
0,RADIO_OTHER,Other,0,0,0
1,RADIO_GENERIC,Generic,0,0,0
2,RADIO_HQ,HQ,0,0,0
3,RADIO_HQII,HQII,0,0,0
4,RADIO_HQIIA,HQIIA,0,0,0
5,RADIO_SINCGARS,SINCGARS,0,0,0
6,RADIO_CCTT_SINCGARS,CCTT SINCGARS,0,0,0
7,RADIO_EPLRS,EPLRS (Enhanced Position Location Reporting System),0,0,0
8,RADIO_JTIDS_MIDS_,JTIDS/MIDS ,0,0,0
9,RADIO_L_BAND_SATCOM,L-Band SATCOM,0,1,1
10,RADIO_ENHANCED_SINCGARS_7_3,Enhanced SINCGARS 7.3,0,1,1
