value,name,desc,deleted,new,SISO
0,DES_MOT_PATT_NO_STATEMENT,No Statement,0,1,0
1,DES_MOT_PATT_ROPING,Roping,0,1,0
2,DES_MOT_PATT_SNAKING,Snaking,0,1,0
,,,,,
,,,,,
,,,,,
,,,,,
