value,name,national_desc,nato_desc,comm_designation_desc,deleted,new,SISO
15210,EMITTER_FAN_SONG_B_F_TT,0,Fan Song B/F TT,0,0,0,0
15220,EMITTER_FAN_SONG_C_E_TA,0,Fan Song C/E TA,0,0,0,0
15230,EMITTER_FAN_SONG_C_E_TT,0,Fan Song C/E TT,0,0,0,0
15240,EMITTER_FAN_SONG_C_E_MG,0,Fan Song C/E MG,0,0,0,0
15255,EMITTER_FAN_SONG_B_FF_MG,0,Fan Song B/FF MG,0,0,0,0
15300,EMITTER_FAN_TAIL,0,Fan Tail,0,0,0,0
15310,EMITTER_FCR_1401,FCR-1401,0,0,0,0,0
15345,EMITTER_FIN_CURVE,0,Fin Curve,0,0,0,0
15390,EMITTER_FIRE_CAN,0,Fire Can,0,0,0,0
15435,EMITTER_FIRE_DISH,0,Fire Dish,0,0,0,0
15470,EMITTER_FIRE_DOME_TA,0,Fire Dome TA,0,0,0,0
15475,EMITTER_FIRE_DOME_TT,0,Fire Dome TT,0,0,0,0
15480,EMITTER_FIRE_DOME_TI,0,Fire Dome TI,0,0,0,0
15525,EMITTER_FIRE_IRON,0,Fire Iron,0,0,0,0
15570,EMITTER_FIRE_WHEEL,0,Fire Wheel,0,0,0,0
15615,EMITTER_FISH_BOWL,0,Fish Bowl,0,0,0,0
15660,EMITTER_FLAP_LID,0,Flap Lid,0,0,0,0
15705,EMITTER_FLAP_TRUCK,0,Flap Truck,0,0,0,0
15750,EMITTER_FLAP_WHEEL,0,Flap Wheel,0,0,0,0
15795,EMITTER_FLASH_DANCE,0,Flash Dance,0,0,0,0
15840,EMITTER_FLAT_FACE_A_B_C_D,P-15,Flat Face A B C D,0,0,0,0
15885,EMITTER_FLAT_SCREEN,0,Flat Screen,0,0,0,0
15930,EMITTER_FLAT_SPIN,0,Flat Spin,0,0,0,0
15975,EMITTER_FLAT_TWIN,0,Flat Twin,0,0,0,0
16020,EMITTER_FLEDERMAUS,Fledermaus,0,0,0,0,0
16030,EMITTER_FLYCATCHER,0,FLYCATCHER,0,0,0,0
16065,EMITTER_FLY_SCREEN,0,Fly Screen,0,0,0,0
16110,EMITTER_FLY_SCREEN_A_AND_B,0,Fly Screen A and B,0,0,0,0
16155,EMITTER_FLY_TRAP_B,0,Fly Trap B,0,0,0,0
16200,EMITTER_FOG_LAMP_MG,0,Fog Lamp MG,0,0,0,0
16245,EMITTER_FOG_LAMP_TT,0,Fog Lamp TT,0,0,0,0
16290,EMITTER_FOIL_TWO,0,Foil Two,0,0,0,0
16335,EMITTER_FOX_HUNTER,Fox Hunter,0,0,0,0,0
16380,EMITTER_FOX_FIRE_AL,0,Fox Fire AL,0,0,0,0
16390,EMITTER_FOX_FIRE_ILL,0,Fox Fire ILL,0,0,0,0
16400,EMITTER_FR_151A,FR-151A,0,0,0,0,0
16410,EMITTER_FR_1505_DA,FR-1505 DA,0,0,0,0,0
16420,EMITTER_FR_2000,FR-2000,0,0,0,0,0
16421,EMITTER_FR_2855W,FR-2855W,0,0,0,0,0
16425,EMITTER_FRONT_DOME,0,Front Dome,0,0,0,0
16470,EMITTER_FRONT_DOOR,0,Front Door,0,0,0,0
16515,EMITTER_FRONT_PIECE,0,Front Piece,0,0,0,0
16560,EMITTER_FURUNO,Furuno,0,0,0,0,0
16561,EMITTER_FURUNO_1721,Furuno 1721,0,0,0,0,0
16580,EMITTER_FURUNO_1730,Furuno 1730,0,0,0,1,1
16590,EMITTER_FURUNO_1932,Furuno 1932,0,0,0,1,1
16605,EMITTER_FURUNO_701,Furuno 701,0,0,0,0,0
16650,EMITTER_FURUNO_711_2,Furuno 711 2,0,0,0,0,0
16695,EMITTER_FURUNO_2400,Furuno 2400,0,0,0,0,0
16730,EMITTER_FURUNO_8051,Furuno 8051,0,0,0,1,1
16740,EMITTER_GA_01_00,GA 01 00,0,0,0,0,0
16785,EMITTER_GAGE,0,Gage,0,0,0,0
16830,EMITTER_GARPIN,0,Garpin,0,0,0,0
16875,EMITTER_GEM_BX_132,GEM BX 132,0,0,0,0,0
16880,EMITTER_GEPARD_TA,MPDR-12,Gepard TA,0,0,0,0
16884,EMITTER_GEPARD_TT,0,Gepard TT,0,0,0,0
16888,EMITTER_GERAN_F,GERAN-F,0,0,0,0,0
16900,EMITTER_GIRAFFE,GIRAFFE,0,0,0,0,0
16915,EMITTER_GIN_SLING_TA,0,Gin Sling TA,0,0,0,0
16920,EMITTER_GIN_SLING_TT,Gin Sling,Gin Sling TT,0,0,0,0
16925,EMITTER_GIN_SLING_MG,0,Gin Sling MG,0,0,0,0
16945,EMITTER_GPN_22,GPN-22,0,0,0,0,0
16950,EMITTER_GRN_9,GRN-9,0,0,0,0,0
16965,EMITTER_GREEN_STAIN,Green Stain,0,0,0,0,0
17010,EMITTER_GRID_BOW,0,Grid Bow,0,0,0,0
17025,EMITTER_GRILL_PAN_TT,9S32,Grill Pan TT,0,0,0,0
17055,EMITTER_GUARDSMAN,Guardsman,0,0,0,0,0
17070,EMITTER_GUN_DISH_ZSU_23_4,RPK-2,Gun Dish (ZSU-23/4),0,0,0,0
17100,EMITTER_HAIR_NET,0,Hair Net,0,0,0,0
17145,EMITTER_HALF_PLATE_A,0,Half Plate A,0,0,0,0
17190,EMITTER_HALF_PLATE_B,0,Half Plate B,0,0,0,0
17220,EMITTER_HARD,HARD,0,0,0,0,0
17235,EMITTER_HAWK_SCREECH,0,Hawk Screech,0,0,0,0
17280,EMITTER_HEAD_LIGHT_A,0,Head Light A,0,0,0,0
17325,EMITTER_HEAD_LIGHTS,0,Head Lights,0,0,0,0
17370,EMITTER_HEAD_LIGHTS_C,0,Head Lights C,0,0,0,0
17415,EMITTER_HEAD_LIGHTS_MG_A,0,Head Lights MG A,0,0,0,0
17460,EMITTER_HEAD_LIGHTS_MG_B,0,Head Lights MG B,0,0,0,0
17505,EMITTER_HEAD_LIGHTS_TT,0,Head Lights TT,0,0,0,0
17550,EMITTER_HEAD_NET,0,Head Net,0,0,0,0
17595,EMITTER_HEN_EGG,0,Hen Egg,0,0,0,0
17640,EMITTER_HEN_HOUSE,0,Hen House,0,0,0,0
17685,EMITTER_HEN_NEST,0,Hen Nest,0,0,0,0
17730,EMITTER_HEN_ROOST,0,Hen Roost,0,0,0,0
17775,EMITTER_HIGH_BRICK,0,High Brick,0,0,0,0
17820,EMITTER_HIGH_FIX,0,High Fix,0,0,0,0
17865,EMITTER_HIGH_LARK_TI,0,High Lark TI,0,0,0,0
17910,EMITTER_HIGH_LARK_1,0,High Lark 1,0,0,0,0
17955,EMITTER_HIGH_LARK_2,0,High Lark 2,0,0,0,0
18000,EMITTER_HIGH_LARK_4,0,High Lark 4,0,0,0,0
18045,EMITTER_HIGH_LUNE,0,High Lune,0,0,0,0
18090,EMITTER_HIGH_POLE_A_AND_B,0,High Pole A and B,0,0,0,0
18135,EMITTER_HIGH_SCOOP,0,High Scoop,0,0,0,0
18150,EMITTER_HIGH_SCREEN,9S19MT,High Screen,0,0,0,0
18180,EMITTER_HIGH_SIEVE,0,High Sieve,0,0,0,0
18200,EMITTER_HN_503,HN-503,0,0,0,0,0
18225,EMITTER_HOME_TALK,0,Home Talk,0,0,0,0
18270,EMITTER_HORN_SPOON,0,Horn Spoon,0,0,0,0
18280,EMITTER_HOT_BRICK,0,Hot Brick,0,0,0,0
18315,EMITTER_HOT_FLASH,0,Hot Flash,0,0,0,0
18320,EMITTER_HOT_SHOT_TA,IRL144M,Hot Shot TA,0,0,0,0
18325,EMITTER_HOT_SHOT_TT,IRL144M,Hot Shot TT,0,0,0,0
18330,EMITTER_HOT_SHOT_MG,IRL144M,Hot Shot MG,0,0,0,0
18360,EMITTER_IFF_MK_XII_AIMS_UPX_29,IFF MK XII AIMS UPX 29,0,0,0,0,0
18405,EMITTER_IFF_MK_XV,IFF MK XV,0,0,0,0,0
18410,EMITTER_JAVELIN_MG,Javelin MG,0,0,0,0,0
18450,EMITTER_JAY_BIRD,0,Jay Bird,0,0,0,0
18460,EMITTER_JRC_NMD_401,JRC-NMD-401,0,0,0,0,0
18495,EMITTER_JUPITER,Jupiter,0,0,0,0,0
18540,EMITTER_JUPITER_II,Jupiter II,0,0,0,0,0
18550,EMITTER_JY_8,JY-8,0,0,0,0,0
18555,EMITTER_JY_9,JY-9,0,0,0,0,0
18560,EMITTER_JY_14,JY-14,0,0,0,0,0
18585,EMITTER_K376Z,0,K376Z,0,0,0,0
18630,EMITTER_KELVIN_HUGHES_2A,0,0,Kelvin Hughes 2A,0,0,0
18675,EMITTER_KELVIN_HUGHES_14_9,0,0,Kelvin Hughes 14/9,0,0,0
18720,EMITTER_KELVIN_HUGHES_TYPE_1006,0,0,Kelvin Hughes type 1006,0,0,0
18765,EMITTER_KELVIN_HUGHES_TYPE_1007,0,0,Kelvin Hughes type 1007,0,0,0
18785,EMITTER_KH_902M,KH-902M,0,0,0,0,0
18810,EMITTER_KITE_SCREECH,0,Kite Screech,0,0,0,0
18855,EMITTER_KITE_SCREECH_A,0,Kite Screech A,0,0,0,0
18900,EMITTER_KITE_SCREECH_B,0,Kite Screech B,0,0,0,0
18945,EMITTER_KIVACH,0,Kivach,0,0,0,0
18990,EMITTER_KNIFE_REST,0,Knife Rest,0,0,0,0
19035,EMITTER_KNIFE_REST_B,P-10,Knife Rest B,0,0,0,0
19037,EMITTER_KNIFE_REST_C,0,KNIFE REST C,0,0,0,0
19050,EMITTER_KR_75,KR-75,0,0,0,0,0
19080,EMITTER_KSA_SRN,KSA SRN,0,0,0,0,0
19125,EMITTER_KSA_TSR,KSA TSR,0,0,0,0,0
19170,EMITTER_LAND_FALL,0,Land Fall,0,0,0,0
19215,EMITTER_LAND_ROLL_MG,0,Land Roll MG,0,0,0,0
19260,EMITTER_LAND_ROLL_TA,0,Land Roll TA,0,0,0,0
19305,EMITTER_LAND_ROLL_TT,0,Land Roll TT,0,0,0,0
19310,EMITTER_LC_150,LC-150,0,0,0,0,0
19350,EMITTER_LENINGRAF,0,Leningraf,0,0,0,0
19395,EMITTER_LIGHT_BULB,0,Light Bulb,0,0,0,0
19400,EMITTER_LMT_NRAI_6A,LMT NRAI-6A,0,0,0,0,0
19440,EMITTER_LN_55,LN 55,0,0,0,0,0
19485,EMITTER_LN_66,0,Ln 66,0,0,0,0
19530,EMITTER_LONG_BOW,0,Long Bow,0,0,0,0
19575,EMITTER_LONG_BRICK,0,Long Brick,0,0,0,0
19620,EMITTER_LONG_BULL,0,Long Bull,0,0,0,0
19665,EMITTER_LONG_EYE,0,Long Eye,0,0,0,0
19710,EMITTER_LONG_HEAD,0,Long Head,0,0,0,0
19755,EMITTER_LONG_TALK,0,Long Talk,0,0,0,0
19800,EMITTER_LONG_TRACK,0,Long Track,0,0,0,0
19845,EMITTER_LONG_TROUGH,0,Long Trough,0,0,0,0
19890,EMITTER_LOOK_TWO,0,Look Two,0,0,0,0
19935,EMITTER_LORAN,LORAN,0,0,0,0,0
19950,EMITTER_LOW_BLOW_TA,0,Low Blow TA,0,0,0,0
19955,EMITTER_LOW_BLOW_TT,0,Low Blow TT,0,0,0,0
19960,EMITTER_LOW_BLOW_MG,0,Low Blow MG,0,0,0,0
19980,EMITTER_LOW_SIEVE,0,Low Sieve,0,0,0,0
20025,EMITTER_LOW_TROUGH,0,Low Trough,0,0,0,0
20040,EMITTER_TRS_2050,TRS-2050,0,LP-23,0,0,0
20070,EMITTER_LW_08,LW 08,0,0,0,0,0
20090,EMITTER_M_1983_FCR,0,M-1983 FCR,0,0,0,0
20115,EMITTER_M22_40,M22-40,0,0,0,0,0
20160,EMITTER_M44,M44,0,0,0,0,0
