value,name,desc,new
0,DRVP_DR_TYPE_NOT_SPECIFIED,Not Specified,1
1,DRVP_DR_TYPE_LINEAR_VELOCITY,Linear Velocity,1
2,DRVP_DR_TYPE_LINEAR_ACCELERATION,Linear Acceleration,1
3,DRVP_DR_TYPE_ANGULAR_VELOCITY,Angular Velocity,1
