value,name,desc
169,ENT_CNTRY_PAPUA_NEW_GUINEA,Papua New Guinea
170,ENT_CNTRY_PARACEL_ISLANDS,Paracel Islands
171,ENT_CNTRY_PARAGUAY,Paraguay
172,ENT_CNTRY_PERU,Peru
173,ENT_CNTRY_PHILIPPINES,Philippines
174,ENT_CNTRY_PITCAIRN_ISLANDS,Pitcairn Islands
175,ENT_CNTRY_POLAND,Poland
176,ENT_CNTRY_PORTUGAL,Portugal
177,ENT_CNTRY_PUERTO_RICO,Puerto Rico
178,ENT_CNTRY_QATAR,Qatar
179,ENT_CNTRY_REUNION,Reunion
180,ENT_CNTRY_ROMANIA,Romania
181,ENT_CNTRY_RWANDA,Rwanda
182,ENT_CNTRY_ST_KITTS_AND_NEVIS,St Kitts and Nevis
183,ENT_CNTRY_ST_HELENA,St Helena
184,ENT_CNTRY_ST_LUCIA,St Lucia
185,ENT_CNTRY_ST_PIERRE_AND_MIQUELON,St Pierre and Miquelon
186,ENT_CNTRY_ST_VINCENT_AND_THE_GRENADINES,St Vincent and the Grenadines
187,ENT_CNTRY_SAN_MARINO,San Marino
188,ENT_CNTRY_SAO_TOME_AND_PRINCIPE,Sao Tome and Principe
189,ENT_CNTRY_SAUDI_ARABIA,Saudi Arabia
190,ENT_CNTRY_SENEGAL,Senegal
191,ENT_CNTRY_SEYCHELLES,Seychelles
192,ENT_CNTRY_SIERRA_LEONE,Sierra Leone
193,ENT_CNTRY_SINGAPORE,Singapore
194,ENT_CNTRY_SOLOMON_ISLANDS,Solomon Islands
195,ENT_CNTRY_SOMALIA,Somalia
196,ENT_CNTRY_SOUTH_GEORGIA_AND_THE_SOUTH_SANDWICH_ISLANDS,South Georgia and the South Sandwich Islands
197,ENT_CNTRY_SOUTH_AFRICA,South Africa
198,ENT_CNTRY_SPAIN,Spain
199,ENT_CNTRY_SPRATLY_ISLANDS,Spratly Islands
200,ENT_CNTRY_SRI_LANKA,Sri Lanka
201,ENT_CNTRY_SUDAN,Sudan
202,ENT_CNTRY_SURINAME,Suriname
203,ENT_CNTRY_SVALBARD,Svalbard
204,ENT_CNTRY_SWAZILAND,Swaziland
205,ENT_CNTRY_SWEDEN,Sweden
206,ENT_CNTRY_SWITZERLAND,Switzerland
207,ENT_CNTRY_SYRIA,Syria
208,ENT_CNTRY_TAIWAN,Taiwan
209,ENT_CNTRY_TANZANIA,Tanzania
210,ENT_CNTRY_THAILAND,Thailand
211,ENT_CNTRY_TOGO,Togo
212,ENT_CNTRY_TOKELAU,Tokelau
213,ENT_CNTRY_TONGA,Tonga
214,ENT_CNTRY_TRINIDAD_AND_TOBAGO,Trinidad and Tobago
215,ENT_CNTRY_TROMELIN_ISLAND,Tromelin Island
216,ENT_CNTRY_TRUST_TERRITORY_OF_THE_PACIFIC_ISLANDS,Trust Territory of the Pacific Islands
217,ENT_CNTRY_TUNISIA,Tunisia
218,ENT_CNTRY_TURKEY,Turkey
219,ENT_CNTRY_TURKS_AND_CAICOS_ISLANDS,Turks and Caicos Islands
220,ENT_CNTRY_TUVALU,Tuvalu
221,ENT_CNTRY_UGANDA,Uganda
222,ENT_CNTRY_COMMONWEALTH_OF_INDEPENDENT_STATES,Commonwealth of Independent States
223,ENT_CNTRY_UNITED_ARAB_EMIRATES,United Arab Emirates
224,ENT_CNTRY_UNITED_KINGDOM,United Kingdom
225,ENT_CNTRY_UNITED_STATES,United States
226,ENT_CNTRY_URUGUAY,Uruguay
227,ENT_CNTRY_VANUATU,Vanuatu
228,ENT_CNTRY_VATICAN_CITY,Vatican City
229,ENT_CNTRY_VENEZUELA,Venezuela
230,ENT_CNTRY_VIETNAM,Vietnam
231,ENT_CNTRY_VIRGIN_ISLANDS,Virgin Islands
232,ENT_CNTRY_WAKE_ISLAND,Wake Island
