value,name,desc,deleted,new,SISO
0,PTCL_VER_OTHER,Other,0,0,0
1,PTCL_VER_DIS_1_0_MAY_1992,DIS PDU version 1.0 (May 92),0,0,0
2,PTCL_VER_IEEE_1278_1993,IEEE 1278-1993,0,0,0
3,PTCL_VER_DIS_2_0_THIRD_DRAFT,DIS PDU version 2.0 - third draft (May 93),0,0,0
4,PTCL_VER_DIS_2_0_FOURTH_DRAFT,DIS PDU version 2.0 - fourth draft (revised) March 16~ 1994,0,0,0
5,PTCL_VER_IEEE_1278_1_1995,IEEE 1278.1-1995,0,0,0
6,PTCL_VER_IEEE_1278_1A_1998,IEEE 1278.1A-1998,0,0,0
7,PTCL_VER_IEEE_1278_1_200X_DRAFT,IEEE 1278.1-200X (Draft),0,1,1
