value,name,desc
0,EMPTY,Empty
1,POSITION,Position
2,POSITION_RATE,Position Rate
3,EXTENSION,Extension
4,EXTENSION_RATE,Extension Rate
5,X,X
6,X_RATE,X Rate
7,Y,Y
8,Y_RATE,Y Rate
9,Z,Z
10,Z_RATE,Z Rate
11,AZIMUTH,Azimuth
12,AZIMUTH_RATE,Azimuth Rate
13,ELEVATION,Elevation
14,ELEVATION_RATE,Elevation Rate
15,ROTATION,Rotation
16,ROTATION_RATE,Rotation Rate
