value,name,desc,new
0,LIFE_COND_EXT_DMG_NOT_SPECIFIED,Not Specified,1
1,LIFE_COND_EXT_DMG_SLIGHT,Slight,1
2,LIFE_COND_EXT_DMG_MODERATE,Moderate,1
3,LIFE_COND_EXT_DMG_HEAVY,Heavy,1
