value,name,desc,new
0,EAVP_ENT_ASSOC_STATUS_NOT_SPECIFIED,Not Specified,1
1,EAVP_ENT_ASSOC_STATUS_PHYS_ASSOC_TARGET,Physical Association Target,1
2,EAVP_ENT_ASSOC_STATUS_NON_PHYSICAL_ASSOC,Non Physical Association,1
3,EAVP_ENT_ASSOC_STATUS_ASSOCIATION_BROKEN,Association Broken,1
4,EAVP_ENT_ASSOC_STATUS_PHYS_ASSOC_CARRIER,Physical Association Carrier,1
